postcode,locality,state,lat,lon
200,ANU,ACT,-35.2777,149.119
200,Australian National University,ACT,-35.2776999,149.118527
800,DARWIN,NT,-12.3932794,130.7766611
800,DARWIN CITY,NT,-12.3932794,130.7766611
801,DARWIN,NT,-12.4634403,130.8456418
804,PARAP,NT,-12.4324801,130.8462536
810,ALAWA,NT,-12.38,130.873
810,BRINKIN,NT,-12.37,130.867
810,CASUARINA,NT,-12.373333,130.881667
810,COCONUT GROVE,NT,-12.3989,130.852
810,JINGILI,NT,-12.386667,130.875278
810,LEE POINT,NT,-12.339444,130.893056
810,LYONS,NT,-12.3603,130.889
810,MILLNER,NT,-12.391111,130.863208
810,MOIL,NT,-12.388889,130.879167
810,MUIRHEAD,NT,-12.3583,130.896
810,NAKARA,NT,-12.369444,130.878056
810,NIGHTCLIFF,NT,-12.383,130.849
810,RAPID CREEK,NT,-12.380833,130.862222
810,TIWI,NT,-12.363333,130.880278
810,WAGAMAN,NT,-12.3825,130.885
810,WANGURI,NT,-12.3725,130.887778
811,CASUARINA,NT,-12.373333,130.881667
812,ANULA,NT,-12.3928,130.89
812,BUFFALO CREEK,NT,-12.3464,130.921
812,HOLMES,NT,-12.3961,130.921
812,KARAMA,NT,-12.401069,130.916889
812,LEANYER,NT,-12.379444,130.8975
812,MALAK,NT,-12.393,130.904
812,MARRARA,NT,-12.398333,130.88
812,NORTHLAKES,NT,-12.3958,130.895
812,SANDERSON,NT,-12.3889,130.898
812,WOODLEIGH GARDENS,NT,-12.3794,130.898
812,WULAGI,NT,-12.384444,130.893056
813,SANDERSON,NT,-19.4914,132.551
814,NIGHTCLIFF,NT,-12.383,130.849
815,CHARLES DARWIN UNIVERSITY,NT,-12.3718,130.869
820,BAGOT,NT,-12.411487,130.85541
820,BAYVIEW,NT,-12.4403118,130.860162
820,CHARLES DARWIN,NT,-12.4359223,130.8786503
820,COONAWARRA,NT,-12.429722,130.911667
820,CULLEN BAY,NT,-12.4533181,130.8250685
820,DARWIN DC,NT,-12.4634,130.846
820,DARWIN INTERNATIONAL AIRPORT,NT,-12.4154,130.883
820,DARWIN MC,NT,-12.3964,130.904
820,EAST POINT,NT,-12.410833,130.822222
820,EATON,NT,-12.4256,130.865
820,FANNIE BAY,NT,-12.425,130.836389
820,LARRAKEYAH,NT,-12.458611,130.821667
820,LUDMILLA,NT,-12.414524,130.8500471
820,PARAP,NT,-12.4324801,130.8462536
820,RAAF BASE DARWIN,NT,-12.4253,130.864
820,STUART PARK,NT,-12.448611,130.841667
820,THE GARDENS,NT,-12.448611,130.836389
820,THE NARROWS,NT,-12.427778,130.860556
820,WINNELLIE,NT,-12.428889,130.869722
820,WOOLNER,NT,-12.437778,130.8475
821,WINNELLIE,NT,-12.428889,130.869722
822,ACACIA HILLS,NT,-12.7541536,131.1489404
822,ANGURUGU,NT,-13.9812,136.461
822,ANINDILYAKWA,NT,-13.861,136.441
822,ANNIE RIVER,NT,-14.4942,143.751
822,BATHURST ISLAND,NT,-11.7365,130.431
822,BEES CREEK,NT,-12.555285,131.059105
822,BELYUEN,NT,-12.5382,130.683
822,BLACK JUNGLE,NT,-12.5233,131.207
822,BLACKMORE,NT,-12.741,130.933
822,BORDER STORE,NT,-12.4244,132.964
822,BURRUNDIE,NT,-13.4511,131.387
822,BYNOE,NT,-12.8006,130.613
822,BYNOE HARBOUR,NT,-12.6605,130.587
822,CAMP CREEK,NT,-13.1735,130.932
822,CHANNEL ISLAND,NT,-12.5532,130.866
822,CHARLES DARWIN,NT,-12.4359,130.879
822,CHARLOTTE,NT,-12.7152,130.886
822,CLARAVALE,NT,-14.4956,131.353
822,COBOURG,NT,-11.3952,132.268
822,COLLETT CREEK,NT,-12.8628,130.95
822,COOMALIE CREEK,NT,-13.0603,131.106
822,COX PENINSULA,NT,-12.4470329,130.7412751
822,CROKER ISLAND,NT,-11.1764,132.531
822,DALY RIVER,NT,-13.7128168,130.6872034
822,DARWIN MC,NT,-12.4581,130.84
822,DARWIN RIVER DAM,NT,-12.8947,131.14
822,DELISSAVILLE,NT,-12.5382,130.683
822,DOUGLAS-DALY,NT,-13.8005,131.344
822,EAST ARM,NT,-12.4794,130.914
822,EAST ARNHEM,NT,-12.2535,136.837
822,ELRUNDIE,NT,-12.4796,130.96
822,EVA VALLEY,NT,-13.1239,131.007
822,FINNISS VALLEY,NT,-13.0245,130.942
822,FLEMING,NT,0,0
822,FLY CREEK,NT,-12.8012,131.069
822,FREDS PASS,NT,-12.5398,131.055
822,GALIWINKU,NT,-12.0247,135.568
822,GLYDE POINT,NT,-12.1797,131.08
822,GOULBOURN ISLAND,NT,-11.614,133.397
822,GOULBURN ISLAND,NT,-11.614,133.397
822,GUNBALANYA,NT,-12.3255,133.055
